main_category_name,sub_category_name,ranking,title,org_price,dis_price,dis_percent
ALL,ALL,1,쉬블림로브 12%쿠폰 균일가 기모 맨투맨 니트 가디건,"26,300원",,69%
ALL,ALL,2,[릴리유]릴리유 퓨어퍼플 물티슈 캡72매X10팩(1BOX),"30,900원",,45%
ALL,ALL,3,도너츠 6종세트(총15개) 출고일선택/당일생산 수제도넛,"19,800원",,50%
ALL,ALL,4,시매쓰  빨라지고 강해지는 이것이 연산이다 A~F단계 세트 선택구매(전4권),"56,000원",,50%
ALL,ALL,5,김말이  500gx4,"19,800원",,42%
ALL,ALL,6,[홈스타]홈스타 바르는 곰팡이 싹 120ml 4개,"17,900원",,39%
ALL,ALL,7,티메이 겨울신상 니트 가디건 기모맨투맨 트레이,"32,900원",,69%
ALL,ALL,8,[아웃백스테이크하우스](아웃백/빕스)Pays 외식/카페 결합 금액권 5만원권,"50,000원",,11%
ALL,ALL,9,치즈스틱 1kg  /모짜렐라치즈 /햄/간식/튀김/치킨너겟,"23,800원",,50%
ALL,ALL,10,데이뮤즈 9900균일 원피스/양털/코트/패딩/맨투맨/롱,"33,000원",,70%
ALL,ALL,11,[한국투자증권](한국투자증권) 온라인 금융상품권,,,
ALL,ALL,12,[고래사어묵]고래사 고래사어묵 프리미엄어묵세트 15종,"39,900원",,13%
ALL,ALL,13,[2020햇꼬막]벌교 통꼬막장 12통,,,
ALL,ALL,14,[엘칸토]엘칸토 20FW 남녀 겨울슈즈 시즌오프세일,"179,000원",,69%
ALL,ALL,15,[동원에프앤비]라이트 스탠다드 참치 100g 15캔 원터치,"20,900원",,9%
ALL,ALL,16,트레이닝바지 극세사 융털 수면바지 밍크 홈웨어 1+1,"29,600원",,69%
ALL,ALL,17,[고래사어묵]고래사 고래사어묵 프리미엄어묵세트 15종(16봉),"39,900원",,13%
ALL,ALL,18,[참도깨비]26탄 금강만두 육개장 630g x4봉/ 2세트시 떡볶이,"33,900원",,50%
ALL,ALL,19,[비비수산](대용량) 생 칵테일새우 60-70미,"28,300원",,33%
ALL,ALL,20,[로모스]Romoss 로모스 PEA57 57000mAh 고속충전 보조배터리,,,
ALL,ALL,21,[창비]창비아하 한글 만들기 1~5권 + 배우기 1~4권 세트(전 9권),"96,000원",,10%
ALL,ALL,22,12%쿠폰 기모/융털/모직/트레이닝팬츠/빅사이즈~4XL,"26,300원",,69%
ALL,ALL,23,[비비고]수제진한고기만두 400g x4 + 수제김치만두 400g x2,"28,300원",,20%
ALL,ALL,24,[스케쳐스]스케쳐스 여성 고 워크 5-SP0WW20Y021,,,
ALL,ALL,25,(단독) 1+1+1 김서림 방지 안경 닦이 안티포그 클리너/ 투디터(선글라스),,,
ALL,ALL,26,[지오다노]지오다노 신년세일 인기 푸파/경량/테리~80%OFF,"130,000원",,70%
ALL,ALL,27,[창비]창비 아하 한글 1단계 ~ 3단계 세트별 선택구매,"36,000원",,19%
ALL,ALL,28,(시매쓰) 빨라지고 강해지는 이것이 도형이다 세트 선택구매/빨강도형,"66,000원",,50%
ALL,ALL,29,센스물티슈 악어 캡형 100매 10팩+10팩 / 한장씩톡톡,"27,800원",,50%
ALL,ALL,30,요즘에/한파세일+12%/융털/기모팬츠/슬랙스/빅사이즈,"33,000원",,70%
ALL,ALL,31,[원더랜드]원더랜드 NEW 팝콘 수학동화_페이퍼백 (전60권),"165,000원",,49%
ALL,ALL,32,[켈로그]콘푸로스트2+아몬드푸레이크2+디스펜서(화이트),"28,000원",,14%
ALL,ALL,33,[네스카페]부드러운모카 110T  2개,"17,500원",,14%
e쿠폰/티켓,ALL,1,[컬쳐랜드문화상품권](카드가능)(컬쳐랜드) 문화상품권 5만원 /온라인 전용,"50,000원",,7%
컴퓨터/전자,ALL,1,[로모스]Romoss 로모스 PEA57 57000mAh 고속충전 보조배터리,,,
스포츠/자동차,ALL,1,[안다르]안다르 이태리 원사 기모 레깅스 특가,"39,000원",,38%
여행,ALL,1,|카드할인|그랜드하얏트 제주 얼리버드 특가(~4월)/제주도신규호텔/제주호텔/제주하얏트/하얏트제주/호캉스,"245,000원",,2%
도서/음반,ALL,1,(동아) 동아전과/동아백점시리즈 학년별 선택구매,,,
ALL,ALL,34,M1B 네모 겨울코디완성 날씬템 빅사이즈 스커트,"46,300원",,69%
ALL,ALL,35,스마일케이 KF94 입체형 마스크 대형 100매,"21,500원",,7%
ALL,ALL,36,[모나리자]에코모먼트 네이처 3겹 20M 30롤 3팩 롤화장지,,,
ALL,ALL,37,여성 키높이 소가죽 방한화 털부츠 발목까지 따뜻해요,"56,300원",,70%
ALL,ALL,38,[라페어]라페어 라페어 팬티 15종,"49,900원",,12%
ALL,ALL,39,(숏핑) 홈파티 디저트 레인보우 큐브치즈 8팩(1팩 24큐브),"39,900원",,20%
ALL,ALL,40,[블랙야크키즈](신세계강남점)[최초판매가:249 000원]20년 FW 구스다운  단 한 점의 바람도 허락하지 않는 라미네이팅 ...,"149,000원",,31%
ALL,ALL,41,크라제버거  비프/함박스테이크 혼합구성 모음전,"20,500원",,
ALL,ALL,42,[프롬산타]3+1 양말/롱삭스/수면 남자여자학생스니커즈덧신겨울,"23,000원",,70%
가구/침구,ALL,1,[에이블루]커블체어 와이더 바른자세교정 서포트체어,,,
생활/주방/건강,ALL,1,브레스마스크 KF-94 대형 / 100매입,,,
e쿠폰/티켓,ALL,2,[한국투자증권](한국투자증권) 온라인 금융상품권,,,
e쿠폰/티켓,ALL,3,[컬쳐랜드문화상품권](카드가능)(컬쳐랜드) 문화상품권 3만원 /온라인 전용,"30,000원",,7%
e쿠폰/티켓,ALL,4,[해피머니](카드가능)(해피머니) 온라인 문화상품권 5만원,"50,000원",,7%
e쿠폰/티켓,ALL,5,[아웃백스테이크하우스](아웃백/빕스)Pays 외식/카페 결합 금액권 5만원권,"50,000원",,11%
e쿠폰/티켓,ALL,6,[구글플레이](카드가능) 기프트코드 10만원 / 구글 기프트카드,"100,000원",,3%
e쿠폰/티켓,ALL,7,[에그머니](카드가능)(에그머니) 온라인 게임상품권 5만원,"50,000원",,10%
e쿠폰/티켓,ALL,8,[에쓰오일](S-OIL) 모바일주유권 5만원/ 실시간발송/ 주유상품권,"50,000원",,2%
e쿠폰/티켓,ALL,9,[구글플레이](카드가능) 기프트코드 5만원 / 구글 기프트카드,"50,000원",,3%
e쿠폰/티켓,ALL,10,[구글플레이](카드가능) 기프트코드 3만원 / 구글 기프트카드,"30,000원",,3%
e쿠폰/티켓,ALL,11,[구글플레이](카드가능) 기프트코드 1만원 / 구글 기프트카드,"10,000원",,3%
e쿠폰/티켓,ALL,12,(스마일클럽) 컬쳐랜드 문화상품권 1만원권,"10,000원",,5%
e쿠폰/티켓,ALL,13,(투썸플레이스) 스트로베리 초콜릿 생크림,"34,000원",,7%
e쿠폰/티켓,ALL,14,[해피머니](카드가능)(해피머니) 온라인상품권 5만원,"50,000원",,6%
e쿠폰/티켓,ALL,15,[에쓰오일](S-OIL) 모바일주유권 3만원/ 실시간발송/ 주유상품권,"30,000원",,2%
e쿠폰/티켓,ALL,16,[구글플레이](카드가능) 기프트코드 20만원 / 구글 기프트카드,"200,000원",,3%
컴퓨터/전자,ALL,2,윤남텍 간편세척 초음파 다목적 가습기/YN-101/G마켓,,,
컴퓨터/전자,ALL,3,부토 전기찜기 계란찜기 간편세척 NBE622W 다용도찜기,,,
컴퓨터/전자,ALL,4,[에브리봇]물걸레 로봇청소기 Edge (최종가 238200원),"292,000원",,15%
컴퓨터/전자,ALL,5,[비달사순]비달사순 2000W 전문가용 헤어드라이기 VSD5129K,,,
컴퓨터/전자,ALL,6,[샤오미]미워치/스마트워치/AMOLED/한글지원 혈중산소측정/블루,"159,800원",,10%
컴퓨터/전자,ALL,7,(행사) 블랙 AIRWATCH 스마트 워치 밴드 전자시계,"70,000원",,57%
컴퓨터/전자,ALL,8,[신일전자]2단 분리형 전기히터 SEH-G800 2중안전 시스템,"13,200원",,8%
컴퓨터/전자,ALL,9,무선 블루투스 5.0 이어폰 3개 1+1+1 LED,"29,500원",,7%
컴퓨터/전자,ALL,10,[샤오미]샤오미 Mi TV 스틱 글로벌버전 1080P(Full HD) 블랙,,,
컴퓨터/전자,ALL,11,[로지텍]로지텍 MX 인체공학 버티컬 마우스,,,
컴퓨터/전자,ALL,12,[일렉트로룩스]에르고라피도 18V 무선청소기 ZB3311AK +4종노즐확장팩,,,
컴퓨터/전자,ALL,13,[샤오미]샤오미 xinxiang 캡슐커피머신 mini S1201 샴페인골드,,,
컴퓨터/전자,ALL,14,[듀플렉스]듀플렉스 초음파 간편세척 가습기 2.0L DP-7750UH,"29,800원",,8%
컴퓨터/전자,ALL,15,르 꽁뜨 by 헤어 속볼륨 펌브러쉬,,,
컴퓨터/전자,ALL,16,곰표한일 워셔블 전기요 모음전 전기장판/매트/캠핑,"29,800원",,41%
