id,time,total,english,math,english_parti,math_parti,i1,i2,i3,j1,j2,j3,j4,j5,k1,k2,k3,k4,gender,score,income,location,total_p
1,18,7386,1765,388,1,1,4,3,4,3,3,3,4,3,4,3,3,3,2,2,3,1,1
2,7,2314, , ,0,0,4,4,5,5,3,4,5,4,5,5,2,3,2,2,2,2,1
3,18,7039,1646,1436,1,1,3,3,3,3,3,3,3,3,2,3,3,3,2,1,8,3,1
4,7,1999, ,376,0,1,2,2,4,4,2,2,4,4,4,4,4,4,2,2,3,4,1
5,13,2716,376,376,1,1,3,3,3,3,3,2,5,4,5,5,5,5,2,1,5,5,1
6,8,4059, , ,0,0,4,4,2,4,4,2,5,5,5,5,5,5,2,1,3,1,1
7,2,1552,1176,376,1,1,5,4,5,4,4,5,5,4,5,5,4,4,2,2,4,2,1
8,8,2116,251,251,1,1,2,2,4,3,3,3,3,3,4,4,4,4,2,1,3,3,1
9,3,3002, ,706,0,1,4,4,3,3,4,3,3,4,3,4,2,4,2,3,5,4,1
10,11,4125,825,825,1,1,3,3,4,5,4,4,4,4,4,4,4,4,2,4,4,5,1
11,9,4453,157, ,1,0,4,4,4,5,3,2,5,4,4,5,3,5,2,3,4,1,1
12,3,4056,1883,34,1,1,1,2,3,2,3,2,1,2,3,4,2,3,1,2,2,2,1
13,8,394,1104,1418,1,1,4,4,4,4,4,4,4,4,4,4,4,4,1,5,4,3,1
14,8,2643, ,352,0,1,2,2,2,4,2,2,3,4,3,3,4,2,1,3,6,4,1
15,18,4856,1176,352,1,1,4,4,4,2,4,2,4,4,4,4,2,4,1,3,8,5,1
16,22,5695,1048, ,1,0,3,3,3,3,3,3,3,3,3,3,3,3,1,2,8,1,1
17,0, , , ,0,0,2,4,4,2,5,2,5,5,5,5,4,5,1,3,2,2,0
18,3,1976, ,388,0,1,4,4,3,4,4,3,4,4,4,4,4,4,1,2,2,3,1
19,15,1529, , ,0,0,5,2,2,4,4,4,5,4,5,4,4,4,1,2,4,4,1
20,16,2211, ,564,0,1,2,3,3,2,4,3,3,3,2,2,4,5,1,3,6,5,1
21,3,5821, ,352,0,1,4,3,4,3,2,3,4,4,4,4,3,3,1,4,3,1,1
22,10,2281,552, ,1,0,3,3,3,3,2,4,4,3,5,4,3,3,1,3,4,2,1
23,3,2753,941,599,1,1,3,4,4,4,4,2,4,4,4,4,4,4,1,2,2,3,1
24,5,4257,1764,388,1,1,4,2,4,4,4,2,4,5,4,4,4,4,1,2,5,4,1
25,12,1704,234,471,1,1,5,4,2,5,4,4,5,5,5,5,5,3,1,4,5,5,1
26,6,5656,376,376,1,1,4,5,4,4,5,2,4,4,5,3,2,4,1,2,5,1,1
27,10,1412, , ,0,0,4,4,4,5,4,2,5,5,4,5,5,5,1,1,2,2,1
28,21,3294, ,628,0,1,3,3,3,2,4,4,5,5,5,4,3,5,1,2,5,3,1
29,21,5719,1293,1293,1,1,4,4,4,4,5,2,4,4,4,3,3,4,1,2,7,4,1
30,13,3274,1176,564,1,1,4,3,4,3,3,2,5,4,4,4,5,4,2,2,3,5,1
31,3,4351, , ,0,0,5,5,5,5,5,1,5,5,5,5,5,5,2,1,3,1,1
32,1,3100, , ,0,0,3,3,4,5,4,2,5,5,5,5,5,4,2,3,3,2,1
33,9,2882,1764, ,1,0,2,2,2,2,2,3,3,3,3,3,3,3,2,2,3,3,1
34,0, , , ,0,0,5,5,5,5,5,5,5,4,4,4,4,4,2,3,2,4,0
35,4,2400,1176,882,1,1,4,4,3,5,5,5,5,4,4,4,4,4,2,3,2,5,1
36,10,8627, , ,0,0,4,3,4,4,2,2,4,4,4,4,4,4,2,2,6,1,1
37,16,5769,2118,1413,1,1,3,3,3,4,3,3,3,3,3,3,3,3,2,1,6,2,1
