"","X","apt_price","area_m2","floor_no","year_built","ym_sale","day_sale","urban","price_pyung","yr_built","yr_built2","season","urban2","built_age"
"1",1,4800,39.8,2,1998,201811,6,"¿æ",397.989949748744,"1990s","Old","∞°¿ª","≥Û√Ã",21
"2",2,4500,39.8,6,1998,201811,13,"¿æ",373.115577889447,"1990s","Old","∞°¿ª","≥Û√Ã",21
"3",3,4000,39.8,7,1998,201812,10,"¿æ",331.658291457286,"1990s","Old","∞‹øÔ","≥Û√Ã",21
"4",4,4000,39.8,9,1998,201812,10,"¿æ",331.658291457286,"1990s","Old","∞‹øÔ","≥Û√Ã",21
"5",5,4000,39.8,3,1998,201812,10,"¿æ",331.658291457286,"1990s","Old","∞‹øÔ","≥Û√Ã",21
"6",6,4000,39.8,7,1998,201812,10,"¿æ",331.658291457286,"1990s","Old","∞‹øÔ","≥Û√Ã",21
"7",7,4000,39.8,5,1998,201812,10,"¿æ",331.658291457286,"1990s","Old","∞‹øÔ","≥Û√Ã",21
"8",8,4000,39.8,9,1998,201812,10,"¿æ",331.658291457286,"1990s","Old","∞‹øÔ","≥Û√Ã",21
"9",9,4000,39.8,8,1998,201812,10,"¿æ",331.658291457286,"1990s","Old","∞‹øÔ","≥Û√Ã",21
"10",10,4800,39.8,5,1998,201901,10,"¿æ",397.989949748744,"1990s","Old","∞‹øÔ","≥Û√Ã",21
"11",11,4000,39.8,10,1998,201901,11,"¿æ",331.658291457286,"1990s","Old","∞‹øÔ","≥Û√Ã",21
"12",12,4000,39.8,1,1998,201901,22,"¿æ",331.658291457286,"1990s","Old","∞‹øÔ","≥Û√Ã",21
"13",13,4000,39.8,1,1998,201901,22,"¿æ",331.658291457286,"1990s","Old","∞‹øÔ","≥Û√Ã",21
"14",14,6300,67.95,5,1985,201809,18,"¿æ",305.960264900662,"1980s","Old","∞°¿ª","≥Û√Ã",34
"15",15,9000,67.95,4,1985,201905,15,"¿æ",437.086092715232,"1980s","Old","∫Ω","≥Û√Ã",34
"16",16,4500,58.23,5,1985,201907,25,"¿æ",255.023183925811,"1980s","Old","ø©∏ß","≥Û√Ã",34
"17",17,16000,59.9891,13,2017,201810,9,"¿æ",880.159895714388,"2010s","New","∞°¿ª","≥Û√Ã",2
"18",18,15300,59.9891,2,2017,201810,22,"¿æ",841.652900276884,"2010s","New","∞°¿ª","≥Û√Ã",2
"19",19,12600,59.9891,17,2017,201812,24,"¿æ",693.125917875081,"2010s","New","∞‹øÔ","≥Û√Ã",2
"20",20,15500,59.9891,14,2017,201902,16,"¿æ",852.654898973313,"2010s","New","∞‹øÔ","≥Û√Ã",2
"21",21,16100,59.9891,10,2017,201902,22,"¿æ",885.660895062603,"2010s","New","∞‹øÔ","≥Û√Ã",2
"22",22,15500,59.9891,18,2017,201903,8,"¿æ",852.654898973313,"2010s","New","∫Ω","≥Û√Ã",2
"23",23,15300,59.9891,3,2017,201903,27,"¿æ",841.652900276884,"2010s","New","∫Ω","≥Û√Ã",2
"24",24,21000,84.9776,14,2017,201903,28,"¿æ",815.509028261565,"2010s","New","∫Ω","≥Û√Ã",2
"25",25,21800,84.9907,6,2017,201904,3,"¿æ",846.445552278073,"2010s","New","∫Ω","≥Û√Ã",2
"26",26,21300,84.9776,6,2017,201904,11,"¿æ",827.159157236731,"2010s","New","∫Ω","≥Û√Ã",2
"27",27,20500,84.9577,15,2014,201810,19,"¿æ",796.278618653753,"2010s","New","∞°¿ª","≥Û√Ã",5
"28",28,14500,59.9747,18,2014,201811,1,"¿æ",797.836421024199,"2010s","New","∞°¿ª","≥Û√Ã",5
"29",29,15040,59.9839,15,2014,201812,5,"¿æ",827.422024910018,"2010s","New","∞‹øÔ","≥Û√Ã",5
"30",30,19500,84.9612,3,2014,201901,2,"¿æ",757.404556432819,"2010s","New","∞‹øÔ","≥Û√Ã",5
"31",31,19500,84.9577,11,2014,201902,8,"¿æ",757.435759207229,"2010s","New","∞‹øÔ","≥Û√Ã",5
"32",32,19000,84.9612,4,2014,201902,14,"¿æ",737.983926780695,"2010s","New","∞‹øÔ","≥Û√Ã",5
"33",33,15000,59.9747,19,2014,201903,22,"¿æ",825.348021749171,"2010s","New","∫Ω","≥Û√Ã",5
"34",34,14900,59.9747,16,2014,201904,10,"¿æ",819.845701604176,"2010s","New","∫Ω","≥Û√Ã",5
"35",35,14500,59.9839,11,2014,201904,19,"¿æ",797.714053270961,"2010s","New","∫Ω","≥Û√Ã",5
"36",36,6000,84.07,5,1991,201812,5,"¿æ",235.518020697038,"1990s","Old","∞‹øÔ","≥Û√Ã",28
"37",37,8500,84.07,3,1991,201907,16,"¿æ",333.650529320804,"1990s","Old","ø©∏ß","≥Û√Ã",28
"38",38,12800,84.91,8,1994,201903,6,"¿æ",497.467907195854,"1990s","Old","∫Ω","≥Û√Ã",25
"39",39,2500,51.38,5,1992,201811,30,"¿æ",160.568314519268,"1990s","Old","∞°¿ª","≥Û√Ã",27
"40",40,5000,59.7,2,1992,201812,7,"¿æ",276.381909547739,"1990s","Old","∞‹øÔ","≥Û√Ã",27
"41",41,4600,56.18,4,1992,201901,16,"¿æ",270.202919188323,"1990s","Old","∞‹øÔ","≥Û√Ã",27
"42",42,4700,56.18,2,1992,201903,25,"¿æ",276.076895692417,"1990s","Old","∫Ω","≥Û√Ã",27
"43",43,8000,60,6,1998,201809,20,"¿æ",440,"1990s","Old","∞°¿ª","≥Û√Ã",21
"44",44,10800,60,13,1998,201902,25,"¿æ",594,"1990s","Old","∞‹øÔ","≥Û√Ã",21
"45",45,13300,84.9,4,1998,201903,12,"¿æ",516.961130742049,"1990s","Old","∫Ω","≥Û√Ã",21
"46",46,10900,60,13,1998,201904,8,"¿æ",599.5,"1990s","Old","∫Ω","≥Û√Ã",21
"47",47,9800,60,1,1998,201904,11,"¿æ",539,"1990s","Old","∫Ω","≥Û√Ã",21
"48",48,4200,59.72,4,1994,201903,11,"∏È",232.083054253182,"1990s","Old","∫Ω","≥Û√Ã",25
"49",49,6100,47.28,3,1989,201809,18,"¿æ",425.761421319797,"1980s","Old","∞°¿ª","≥Û√Ã",30
"50",50,5200,47.28,2,1989,201811,23,"¿æ",362.944162436548,"1980s","Old","∞°¿ª","≥Û√Ã",30
"51",51,6300,47.28,2,1989,201901,18,"¿æ",439.720812182741,"1980s","Old","∞‹øÔ","≥Û√Ã",30
"52",52,5600,47.28,1,1989,201907,22,"¿æ",390.862944162437,"1980s","Old","ø©∏ß","≥Û√Ã",30
"53",53,6400,47.28,3,1989,201908,23,"¿æ",446.700507614213,"1980s","Old","ø©∏ß","≥Û√Ã",30
"54",54,13200,74.675,4,1992,201810,5,"¿æ",583.327753598929,"1990s","Old","∞°¿ª","≥Û√Ã",27
"55",55,9200,59.465,5,1992,201905,10,"¿æ",510.552425796687,"1990s","Old","∫Ω","≥Û√Ã",27
"56",56,12900,84.87,5,1993,201812,7,"¿æ",501.590668080594,"1990s","Old","∞‹øÔ","≥Û√Ã",26
"57",57,13100,84.87,7,1993,201812,11,"¿æ",509.367267585719,"1990s","Old","∞‹øÔ","≥Û√Ã",26
"58",58,15000,84.87,6,1993,201812,28,"¿æ",583.244962884411,"1990s","Old","∞‹øÔ","≥Û√Ã",26
"59",59,16000,84.87,9,1993,201902,13,"¿æ",622.127960410039,"1990s","Old","∞‹øÔ","≥Û√Ã",26
"60",60,7000,43.2,8,1993,201903,28,"¿æ",534.722222222222,"1990s","Old","∫Ω","≥Û√Ã",26
"61",61,6050,43.2,7,1993,201908,17,"¿æ",462.152777777778,"1990s","Old","ø©∏ß","≥Û√Ã",26
"62",62,7450,43.2,10,1993,201908,23,"¿æ",569.097222222222,"1990s","Old","ø©∏ß","≥Û√Ã",26
"63",63,15170,84.995,3,2007,201809,7,"¿æ",588.987587505147,"2000s","New","∞°¿ª","≥Û√Ã",12
"64",64,17134,84.995,3,2007,201809,21,"¿æ",665.241484793223,"2000s","New","∞°¿ª","≥Û√Ã",12
"65",65,14825,84.995,2,2007,201810,1,"¿æ",575.592681922466,"2000s","New","∞°¿ª","≥Û√Ã",12
"66",66,17000,84.995,12,2007,201810,1,"¿æ",660.038825813283,"2000s","New","∞°¿ª","≥Û√Ã",12
"67",67,20000,126.901,2,2007,201810,10,"¿æ",520.09046422014,"2000s","New","∞°¿ª","≥Û√Ã",12
"68",68,15800,59.983,10,2007,201811,16,"¿æ",869.246286447827,"2000s","New","∞°¿ª","≥Û√Ã",12
"69",69,18000,84.995,12,2007,201811,20,"¿æ",698.864639096417,"2000s","New","∞°¿ª","≥Û√Ã",12
"70",70,15500,59.983,6,2007,201901,7,"¿æ",852.741610122868,"2000s","New","∞‹øÔ","≥Û√Ã",12
"71",71,25000,126.901,12,2007,201901,28,"¿æ",650.113080275175,"2000s","New","∞‹øÔ","≥Û√Ã",12
"72",72,18700,84.995,10,2007,201903,25,"¿æ",726.042708394611,"2000s","New","∫Ω","≥Û√Ã",12
"73",73,16000,59.983,3,2007,201905,24,"¿æ",880.249403997799,"2000s","New","∫Ω","≥Û√Ã",12
"74",74,15000,84.995,1,2007,201906,21,"¿æ",582.387199247014,"2000s","New","ø©∏ß","≥Û√Ã",12
"75",75,25000,126.901,17,2007,201908,8,"¿æ",650.113080275175,"2000s","New","ø©∏ß","≥Û√Ã",12
"76",76,8700,68.73,10,1992,201809,17,"¿æ",417.721518987342,"1990s","Old","∞°¿ª","≥Û√Ã",27
"77",77,5500,54,3,1992,201811,12,"¿æ",336.111111111111,"1990s","Old","∞°¿ª","≥Û√Ã",27
"78",78,6500,54,8,1992,201811,19,"¿æ",397.222222222222,"1990s","Old","∞°¿ª","≥Û√Ã",27
"79",79,5200,54,8,1992,201901,9,"¿æ",317.777777777778,"1990s","Old","∞‹øÔ","≥Û√Ã",27
"80",80,6300,54,4,1992,201901,25,"¿æ",385,"1990s","Old","∞‹øÔ","≥Û√Ã",27
"81",81,6100,54,5,1992,201906,18,"¿æ",372.777777777778,"1990s","Old","ø©∏ß","≥Û√Ã",27
"82",82,15300,59.99,2,2017,201809,4,"¿æ",841.640273378896,"2010s","New","∞°¿ª","≥Û√Ã",2
"83",83,16200,59.99,5,2017,201809,7,"¿æ",891.148524754126,"2010s","New","∞°¿ª","≥Û√Ã",2
"84",84,20700,76.9829,9,2017,201810,19,"¿æ",887.339915747523,"2010s","New","∞°¿ª","≥Û√Ã",2
"85",85,17000,59.99,7,2017,201811,3,"¿æ",935.155859309885,"2010s","New","∞°¿ª","≥Û√Ã",2
"86",86,16150,59.99,10,2017,201811,19,"¿æ",888.398066344391,"2010s","New","∞°¿ª","≥Û√Ã",2
"87",87,22000,76.9829,11,2017,201901,7,"¿æ",943.066577122971,"2010s","New","∞‹øÔ","≥Û√Ã",2
"88",88,19200,76.9829,6,2017,201902,11,"¿æ",823.039921852775,"2010s","New","∞‹øÔ","≥Û√Ã",2
"89",89,21500,76.9829,8,2017,201902,11,"¿æ",921.633245824722,"2010s","New","∞‹øÔ","≥Û√Ã",2
"90",90,16500,59.99,7,2017,201902,15,"¿æ",907.651275212535,"2010s","New","∞‹øÔ","≥Û√Ã",2
"91",91,16800,59.99,6,2017,201902,18,"¿æ",924.154025670945,"2010s","New","∞‹øÔ","≥Û√Ã",2
"92",92,16450,59.99,15,2017,201904,16,"¿æ",904.9008168028,"2010s","New","∫Ω","≥Û√Ã",2
"93",93,15600,59.99,2,2017,201905,8,"¿æ",858.143023837306,"2010s","New","∫Ω","≥Û√Ã",2
"94",94,15900,59.99,9,2017,201905,8,"¿æ",874.645774295716,"2010s","New","∫Ω","≥Û√Ã",2
"95",95,17400,59.99,13,2017,201906,11,"¿æ",957.159526587765,"2010s","New","ø©∏ß","≥Û√Ã",2
"96",96,17300,59.99,8,2017,201906,14,"¿æ",951.658609768295,"2010s","New","ø©∏ß","≥Û√Ã",2
"97",97,4500,35.67,6,1996,201810,18,"¿æ",416.316232127838,"1990s","Old","∞°¿ª","≥Û√Ã",23
"98",98,4800,35.67,15,1996,201811,7,"¿æ",444.070647603028,"1990s","Old","∞°¿ª","≥Û√Ã",23
"99",99,4250,35.67,13,1996,201811,28,"¿æ",393.187552565181,"1990s","Old","∞°¿ª","≥Û√Ã",23
"100",100,4200,35.67,13,1996,201812,27,"¿æ",388.561816652649,"1990s","Old","∞‹øÔ","≥Û√Ã",23
"101",101,5000,35.67,2,1996,201901,11,"¿æ",462.573591253154,"1990s","Old","∞‹øÔ","≥Û√Ã",23
"102",102,7350,49.69,10,1996,201901,16,"¿æ",488.126383578185,"1990s","Old","∞‹øÔ","≥Û√Ã",23
"103",103,6700,49.69,3,1996,201901,22,"¿æ",444.958744214128,"1990s","Old","∞‹øÔ","≥Û√Ã",23
"104",104,5000,35.67,7,1996,201901,24,"¿æ",462.573591253154,"1990s","Old","∞‹øÔ","≥Û√Ã",23
"105",105,5000,35.67,5,1996,201902,22,"¿æ",462.573591253154,"1990s","Old","∞‹øÔ","≥Û√Ã",23
"106",106,5000,35.67,3,1996,201902,25,"¿æ",462.573591253154,"1990s","Old","∞‹øÔ","≥Û√Ã",23
"107",107,4780,35.67,2,1996,201902,25,"¿æ",442.220353238015,"1990s","Old","∞‹øÔ","≥Û√Ã",23
"108",108,5000,35.67,14,1996,201902,25,"¿æ",462.573591253154,"1990s","Old","∞‹øÔ","≥Û√Ã",23
"109",109,4350,35.67,4,1996,201902,26,"¿æ",402.439024390244,"1990s","Old","∞‹øÔ","≥Û√Ã",23
"110",110,7500,49.69,10,1996,201903,4,"¿æ",498.088146508352,"1990s","Old","∫Ω","≥Û√Ã",23
"111",111,7600,59.34,13,1996,201903,27,"¿æ",422.649140546006,"1990s","Old","∫Ω","≥Û√Ã",23
"112",112,3500,35.67,18,1996,201903,29,"¿æ",323.801513877208,"1990s","Old","∫Ω","≥Û√Ã",23
"113",113,7400,59.34,2,1996,201904,2,"¿æ",411.526794742164,"1990s","Old","∫Ω","≥Û√Ã",23
"114",114,9000,59.34,6,1996,201904,7,"¿æ",500.505561172902,"1990s","Old","∫Ω","≥Û√Ã",23
