"","hh_id","hhm.id","com.mode","com.2modes","commuting.time","commuting.area","age","gender","edu.level","job.type","job.position","income.level","marriage.status","voluntary.working","hhm.no","hh.income","h.type","h.own","area.living","s.reside.year","h.reside.year","stress.yesno","feel.walk","feel.public.facility","feel.safe","feel.people","feel.seoul.pride","feel.seoul.reside","feel.happy.health","feel.happy.money","feel.happy.people","feel.happy.family","feel.happy.society","feel.stress","feel.open.space","feel.seoul.culture","feel.time.relax","feel.time.hobby","feel.time.family","feel.time.people","feel.social.status","feel.future.status","feel.walk.reside","feel.walk.CBD","feel.walk.night","feel.commuting","feel.bike","feel.bus","feel.subway","feel.taxi"
"1",529,1,"2","0",30,"3",71,"1",2,"2","4",6,1,2,2,11,2,1,1,50,5,0,5,5,4,3,7,3,6,5,7,6,6,2,4,3,3,4,3,3,9,4,4,4,4,4,"NA",4,4,4
"2",530,1,"2","0",20,"2",69,"1",2,"2","4",5,1,2,2,9,2,2,1,50,3,1,4,4,5,4,7,2,8,7,8,6,9,4,4,3,4,3,3,4,7,3,4,3,3,4,"4",3,3,5
"3",531,2,"2","0",20,"2",39,"1",3,"2","3",6,1,2,5,12,2,3,1,25,3,0,3,4,4,3,8,4,8,7,8,7,7,2,4,3,4,3,3,4,7,4,3,3,3,4,"5",5,5,5
"4",531,3,"2","0",20,"2",35,"2",3,"2","5",6,1,2,5,12,2,3,1,34,3,1,3,4,3,3,8,4,7,6,8,7,7,4,3,3,4,3,3,4,7,3,4,4,4,3,"5",5,3,5
"5",531,1,"2","0",20,"2",67,"2",2,"2","1",6,5,2,5,12,2,3,1,25,3,1,3,5,4,3,7,2,7,8,6,7,8,4,3,3,2,3,2,3,6,3,4,3,3,4,"NA",5,5,5
"6",532,2,"2","0",40,"3",60,"2",1,"3","1",6,1,2,3,15,2,2,1,38,3,0,4,4,3,4,7,3,6,5,4,5,4,2,3,3,3,4,4,3,7,3,4,4,4,3,"NA",4,4,4
"7",532,1,"2","0",30,"3",65,"1",2,"2","1",6,1,2,3,15,2,2,1,45,3,1,3,3,4,3,7,4,6,8,10,7,6,4,4,3,4,3,3,4,7,4,5,4,4,3,"4",4,4,5
"8",533,1,"1","0",20,"2",56,"1",2,"2","3",6,3,2,1,11,2,3,1,20,2,0,4,4,3,3,7,3,8,7,7,6,8,2,4,3,3,4,3,3,7,3,4,3,3,4,"5",4,3,4
"9",534,1,"1","0",20,"1",50,"1",2,"2","1",6,1,2,2,11,2,3,1,10,3,1,4,3,5,4,7,3,5,7,8,7,7,4,4,3,5,4,3,4,8,3,4,2,3,4,"4",5,2,5
"10",534,2,"2","0",30,"3",54,"2",2,"2","1",6,1,2,2,11,2,3,1,10,3,0,3,4,4,3,8,3,8,6,7,7,8,2,4,3,3,2,3,3,6,4,4,4,3,3,"4",4,4,4
"11",535,1,"2","0",20,"2",56,"1",2,"3","1",5,3,2,1,9,5,3,1,40,1,1,3,5,4,3,7,3,9,7,6,7,10,4,4,4,4,3,3,4,7,4,4,5,4,3,"NA",4,4,4
"12",536,1,"1","0",10,"1",28,"1",3,"3","1",4,2,2,1,7,5,3,1,3,1,0,3,4,4,2,6,3,8,7,8,6,7,2,2,4,3,4,3,3,7,3,3,3,3,3,"NA",4,4,4
"13",538,2,"2","0",20,"2",44,"2",3,"2","1",6,2,2,4,11,1,1,1,43,7,1,4,4,3,4,6,3,8,5,7,8,6,4,3,3,3,4,3,3,7,3,4,3,3,4,"NA",5,5,4
"14",538,4,"2","0",30,"3",40,"1",3,"3","1",6,2,2,4,11,1,1,1,39,7,1,4,4,3,3,6,4,9,7,7,10,8,4,4,3,4,4,3,3,9,3,2,3,2,3,"NA",4,4,5
"15",538,1,"1","0",15,"2",64,"2",1,"3","2",6,5,2,4,11,1,1,1,46,7,1,3,4,4,3,7,5,6,7,6,7,9,4,2,3,3,2,3,3,7,3,3,3,3,3,"NA",4,4,4
"16",539,1,"1","0",10,"1",77,"2",1,"3","2",3,5,2,1,5,1,1,1,50,17,1,3,4,3,3,5,3,6,5,7,8,6,4,3,3,3,4,3,3,6,3,2,3,3,3,"NA",4,3,4
"17",540,2,"1","0",10,"1",70,"2",1,"3","2",5,5,2,2,9,1,1,1,36,15,1,3,4,3,3,5,3,7,7,8,8,6,4,4,3,4,2,3,2,6,3,4,4,3,4,"NA",5,3,5
"18",540,1,"2","0",40,"3",37,"1",3,"2","1",5,2,2,2,9,1,1,1,36,15,1,4,5,4,3,7,4,9,6,7,9,7,4,4,3,2,2,3,2,6,3,3,3,3,4,"NA",4,5,4
"19",541,1,"2","0",30,"3",54,"1",2,"3","1",5,1,2,2,9,1,2,1,37,4,1,4,4,3,3,7,4,8,6,7,8,7,4,4,3,4,4,3,4,8,3,4,4,3,3,"NA",5,5,4
"20",541,2,"1","0",15,"2",54,"2",2,"3","2",5,1,2,2,9,1,2,1,34,4,1,4,5,3,3,7,4,7,5,7,8,7,4,4,3,3,3,4,2,6,3,2,2,2,3,"NA",4,5,4
"21",543,1,"2","0",40,"3",72,"2",1,"3","2",3,5,2,1,5,2,1,1,34,3,1,3,4,3,3,6,3,7,7,8,8,7,4,4,3,2,3,4,3,8,4,4,3,3,3,"NA",3,5,4
"22",544,2,"1","0",20,"1",51,"1",2,"3","1",6,1,2,5,15,2,1,1,50,12,1,4,5,4,3,5,4,8,6,7,8,6,4,4,3,4,3,3,4,7,3,5,4,4,3,"NA",4,5,4
"23",544,1,"1","0",10,"1",71,"2",1,"3","2",6,5,2,5,15,2,1,1,50,12,1,4,4,3,3,6,4,8,7,7,9,7,4,4,3,3,3,2,3,8,3,4,4,3,3,"NA",4,5,5
"24",545,1,"2","0",40,"3",57,"1",2,"3","3",6,1,2,4,11,2,1,1,30,17,0,3,4,3,3,5,2,8,8,7,9,7,3,4,3,3,3,4,3,8,4,4,4,3,3,"NA",4,5,4
"25",545,3,"2","0",40,"3",29,"2",3,"2","1",6,2,1,4,11,2,1,1,28,17,0,4,4,3,3,6,3,8,5,7,8,7,3,3,3,3,4,3,3,7,3,4,3,3,3,"NA",4,5,4
"26",546,1,"2","0",50,"3",76,"2",1,"3","2",3,5,2,1,5,2,1,1,40,5,0,3,4,5,4,7,4,7,8,7,8,6,3,4,3,3,4,3,3,7,3,4,4,3,3,"NA",3,5,4
"27",547,1,"2","0",60,"4",70,"2",1,"3","2",3,1,2,2,5,2,1,1,45,20,0,4,4,3,3,6,3,7,7,6,8,7,3,4,3,2,3,2,2,7,3,3,3,3,2,"NA",5,5,4
"28",548,1,"2","0",40,"3",34,"1",3,"3","1",5,2,2,1,9,2,3,1,5,2,1,5,4,4,3,8,2,7,6,6,7,6,4,3,3,4,3,4,4,7,3,3,2,2,3,"NA",4,4,4
"29",549,2,"0","1",10,"2",70,"1",2,"3","3",6,1,2,2,17,2,2,1,10,4,0,2,2,2,3,6,3,8,7,7,8,6,3,4,3,3,2,3,3,8,3,3,3,3,4,"NA",4,4,3
"30",549,1,"2","0",40,"3",60,"2",2,"2","3",6,1,2,2,17,2,2,1,10,4,1,4,4,4,3,6,3,5,6,8,8,7,4,2,3,2,3,3,4,7,4,3,3,2,3,"NA",5,5,3
"31",550,1,"1","0",10,"1",69,"2",1,"3","2",4,1,2,3,8,3,2,1,40,15,0,4,4,3,3,7,4,8,6,8,7,7,3,4,3,3,3,4,2,7,3,4,4,3,5,"NA",4,4,3
"32",550,3,"2","0",40,"3",47,"1",2,"3","1",4,2,2,3,8,3,2,1,46,15,0,4,4,3,3,6,4,8,6,7,8,7,3,4,4,4,4,3,3,6,3,5,4,3,3,"NA",5,3,4
"33",551,2,"2","0",20,"2",72,"1",1,"3","2",4,1,2,2,7,4,1,1,30,7,0,3,3,2,2,6,4,8,5,6,8,6,3,2,3,2,2,3,3,7,3,4,4,2,3,"NA",4,4,4
"34",551,1,"2","0",40,"3",68,"2",1,"3","2",4,1,2,2,7,4,1,1,30,7,0,2,2,3,3,5,3,8,6,6,8,7,3,2,3,2,3,3,3,7,3,3,2,2,4,"NA",4,3,4
"35",552,1,"1","0",10,"1",73,"2",1,"3","2",6,5,2,3,11,4,1,1,40,3,0,4,4,3,4,6,4,6,5,6,8,6,3,3,3,3,4,3,3,7,3,2,3,2,3,"NA",4,4,4
"36",552,2,"2","0",50,"3",41,"1",3,"2","1",6,1,2,3,11,4,1,1,40,3,0,4,4,4,3,9,4,8,9,7,7,8,2,4,3,4,3,3,4,7,3,4,3,3,3,"NA",4,4,4
"37",553,1,"1","0",15,"1",71,"2",1,"3","2",4,1,2,2,7,4,1,1,32,17,0,3,5,4,4,8,4,7,7,8,8,8,2,4,3,3,3,4,3,4,4,4,4,4,3,"NA",3,3,4
"38",553,2,"2","0",20,"3",72,"1",1,"3","2",4,1,2,2,7,4,1,1,32,17,1,4,4,3,4,7,3,7,7,8,9,8,4,4,3,2,4,3,4,7,4,3,3,3,3,"NA",3,4,4
"39",554,1,"1","0",10,"2",50,"2",2,"2","1",3,2,2,1,6,4,3,1,49,4,1,2,3,3,3,6,4,8,5,6,7,6,4,2,3,3,4,4,3,7,4,3,2,2,3,"NA",3,3,3
"40",555,1,"1","0",15,"1",54,"1",2,"2","3",4,1,2,2,7,5,2,1,10,2,0,3,3,2,3,6,4,7,6,9,8,6,3,4,3,3,4,4,3,6,3,3,3,2,4,"NA",3,4,3
"41",555,2,"1","0",15,"1",50,"2",2,"2","5",4,1,2,2,7,5,2,1,10,2,1,2,3,3,3,5,4,7,6,6,8,6,4,3,3,2,2,3,3,6,3,2,2,2,4,"NA",4,4,3
